BioSample,LibraryName,refGenome,refPath,Run,BioProject,fq1,fq2
D888,lib_D888,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,D888,NaN,/hpctmp/dbstq/T2_MW/data/D888_1.fq.gz,/hpctmp/dbstq/T2_MW/data/D888_2.fq.gz
D916,lib_D916,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,D916,NaN,/hpctmp/dbstq/T2_MW/data/D916_1.fq.gz,/hpctmp/dbstq/T2_MW/data/D916_2.fq.gz
D921,lib_D921,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,D921,NaN,/hpctmp/dbstq/T2_MW/data/D921_1.fq.gz,/hpctmp/dbstq/T2_MW/data/D921_2.fq.gz
D928,lib_D928,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,D928,NaN,/hpctmp/dbstq/T2_MW/data/D928_1.fq.gz,/hpctmp/dbstq/T2_MW/data/D928_2.fq.gz
HJ14,lib_HJ14,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,HJ14,NaN,/hpctmp/dbstq/T2_MW/data/HJ14_1.fq.gz,/hpctmp/dbstq/T2_MW/data/HJ14_2.fq.gz
HJ25,lib_HJ25,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,HJ25,NaN,/hpctmp/dbstq/T2_MW/data/HJ25_1.fq.gz,/hpctmp/dbstq/T2_MW/data/HJ25_2.fq.gz
MG2746,lib_MG2746,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG2746,NaN,/hpctmp/dbstq/T2_MW/data/MG2746_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG2746_2.fq.gz
MG2803,lib_MG2803,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG2803,NaN,/hpctmp/dbstq/T2_MW/data/MG2803_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG2803_2.fq.gz
MG4276,lib_MG4276,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG4276,NaN,/hpctmp/dbstq/T2_MW/data/MG4276_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG4276_2.fq.gz
MG4277,lib_MG4277,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG4277,NaN,/hpctmp/dbstq/T2_MW/data/MG4277_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG4277_2.fq.gz
MG4398,lib_MG4398,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG4398,NaN,/hpctmp/dbstq/T2_MW/data/MG4398_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG4398_2.fq.gz
MG4399,lib_MG4399,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG4399,NaN,/hpctmp/dbstq/T2_MW/data/MG4399_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG4399_2.fq.gz
MG4402,lib_MG4402,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG4402,NaN,/hpctmp/dbstq/T2_MW/data/MG4402_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG4402_2.fq.gz
MG4407,lib_MG4407,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MG4407,NaN,/hpctmp/dbstq/T2_MW/data/MG4407_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MG4407_2.fq.gz
MW37,lib_MW37,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,MW37,NaN,/hpctmp/dbstq/T2_MW/data/MW37_1.fq.gz,/hpctmp/dbstq/T2_MW/data/MW37_2.fq.gz
S3,lib_S3,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,S3,NaN,/hpctmp/dbstq/T2_MW/data/S3_1.fq.gz,/hpctmp/dbstq/T2_MW/data/S3_2.fq.gz
S45,lib_S45,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,S45,NaN,/hpctmp/dbstq/T2_MW/data/S45_1.fq.gz,/hpctmp/dbstq/T2_MW/data/S45_2.fq.gz
S59,lib_S59,GCA_015227675,/hpctmp/dbstq/T2_MW/data/ncbi_dataset/data/GCA_015227675.2,S59,NaN,/hpctmp/dbstq/T2_MW/data/S59_1.fq.gz,/hpctmp/dbstq/T2_MW/data/S59_2.fq.gz
